modelyear,maker,model,vehicleclass,enginesize,cylinders,transmission,fueltype,fuelconsumption_city,fuelconsumption_hwy,fuelconsumption_comb,fuelconsumption_comb_mpg,co2emissions
2014,bmw,535i xdrive gran turismo,full-size,3.0,6,a8,z,12.5,8.6,10.7,26,246
2014,bmw,550i xdrive,mid-size,4.4,8,a8,z,14.4,9.6,12.2,23,281
2014,bmw,550i xdrive gran turismo,full-size,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,640i xdrive gran coupe,compact,3.0,6,a8,z,11.9,8.0,10.1,28,232
2014,bmw,650i xdrive cabriolet,subcompact,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,650i xdrive coupe,compact,4.4,8,a8,z,14.4,9.6,12.2,23,281
2014,bmw,650i xdrive gran coupe,compact,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,740li xdrive,full-size,3.0,6,a8,z,12.5,8.6,10.7,26,246
2014,bmw,750i xdrive,full-size,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,750li xdrive,full-size,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,760li,full-size,6.0,12,a8,z,18.7,11.5,15.5,18,356
2014,bmw,activehybrid 3,compact,3.0,6,a8,z,9.2,7.1,8.3,34,191
2014,bmw,activehybrid 5,mid-size,3.0,6,a8,z,10.5,7.9,9.3,30,214
2014,bmw,activehybrid 7l,full-size,3.0,6,a8,z,10.5,7.6,9.2,31,212
2014,bmw,alpina b7 xdrive lwb,full-size,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,alpina b7 xdrive swb,full-size,4.4,8,a8,z,15.0,9.8,12.7,22,292
2014,bmw,m5,mid-size,4.4,8,am7,z,17.3,11.5,14.7,19,338
2014,bmw,m5,mid-size,4.4,8,m6,z,16.2,10.9,13.8,20,317
2014,bmw,m6,compact,4.4,8,am7,z,17.3,11.5,14.7,19,338
2014,bmw,m6,compact,4.4,8,m6,z,16.2,10.9,13.8,20,317
2014,bmw,m6 cabriolet,subcompact,4.4,8,am7,z,17.3,11.5,14.7,19,338
2014,bmw,m6 cabriolet,subcompact,4.4,8,m6,z,16.2,10.9,13.8,20,317
2014,bmw,m6 gran coupe,compact,4.4,8,am7,z,17.3,11.5,14.7,19,338
2014,bmw,m6 gran coupe,compact,4.4,8,m6,z,16.2,10.9,13.8,20,317
2014,bmw,x1 xdrive28i,suv - small,2.0,4,a8,z,10.6,7.2,9.1,31,209
2014,bmw,x1 xdrive35i,suv - small,3.0,6,a6,z,13.2,8.9,11.3,25,260
2014,bmw,x3 xdrive28i,suv - small,2.0,4,a8,z,11.2,8.5,10.0,28,230
2014,bmw,x3 xdrive35i,suv - small,3.0,6,a8,z,12.6,9.1,11.0,26,253
2014,bmw,x5 xdrive35i,suv - standard,3.0,6,a8,z,12.9,8.8,11.1,25,255
2014,bmw,x5 xdrive50i,suv - standard,4.4,8,a8,z,16.3,10.9,13.9,20,320
2014,bmw,x6 m,suv - standard,4.4,8,a6,z,18.1,13.7,16.1,18,370
2014,bmw,x6 xdrive35i,suv - standard,3.0,6,a8,z,13.6,9.8,11.9,24,274
2014,bmw,x6 xdrive50i,suv - standard,4.4,8,a8,z,16.4,11.3,14.1,20,324
2014,bmw,z4 sdrive28i,two-seater,2.0,4,a8,z,10.8,7.1,9.1,31,209
2014,bmw,z4 sdrive28i,two-seater,2.0,4,m6,z,10.4,6.7,8.7,32,200
2014,bmw,z4 sdrive35i,two-seater,3.0,6,am7,z,13.7,10.1,12.1,23,278
2014,bmw,z4 sdrive35i,two-seater,3.0,6,m6,z,12.7,9.0,11.0,26,253
2014,bmw,z4 sdrive35is,two-seater,3.0,6,am7,z,13.7,10.1,12.1,23,278
2014,buick,enclave,suv - standard,3.6,6,a6,x,14.3,9.9,12.3,23,283
2014,buick,enclave awd,suv - standard,3.6,6,a6,x,14.6,10.2,12.6,22,290
2014,buick,encore,suv - small,1.4,4,as6,x,9.5,7.2,8.5,33,196
2014,buick,encore awd,suv - small,1.4,4,as6,x,10.2,8.0,9.2,31,212
2014,buick,lacrosse,mid-size,3.6,6,as6,x,13.7,8.7,11.5,25,264
2014,buick,lacrosse,mid-size,3.6,6,as6,e,18.4,12.2,15.6,18,250
2014,buick,lacrosse awd,mid-size,3.6,6,as6,x,13.7,8.9,11.5,25,264
2014,buick,lacrosse awd,mid-size,3.6,6,as6,e,19.4,13.0,16.5,17,264
2014,buick,lacrosse eassist,mid-size,2.4,4,as6,x,9.6,6.5,8.2,34,189
2014,buick,regal,mid-size,2.0,4,as6,z,11.5,7.9,9.9,29,228
2014,buick,regal,mid-size,2.0,4,m6,z,11.6,7.5,9.8,29,225
2014,buick,regal awd,mid-size,2.0,4,as6,z,12.3,8.7,10.7,26,246
2014,buick,regal eassist,mid-size,2.4,4,as6,x,9.6,6.5,8.2,34,189
2014,buick,verano,compact,2.0,4,as6,z,11.5,7.9,9.9,29,228
2014,buick,verano,compact,2.0,4,m6,z,11.6,7.5,9.8,29,225
2014,buick,verano,compact,2.4,4,as6,x,11.3,7.4,9.5,30,218
2014,cadillac,ats,compact,2.0,4,as6,z,11.3,7.5,9.6,29,221
2014,cadillac,ats,compact,2.0,4,m6,z,12.1,7.9,10.2,28,235
2014,cadillac,ats,compact,2.5,4,as6,x,10.5,7.2,9.0,31,207
2014,cadillac,ats,compact,3.6,6,as6,x,12.8,8.5,10.9,26,251
2014,cadillac,ats awd,compact,2.0,4,as6,z,11.8,8.1,10.1,28,232
2014,cadillac,ats awd,compact,3.6,6,as6,x,13.1,9.0,11.3,25,260
2014,cadillac,cts coupe,mid-size,3.6,6,as6,x,13.2,8.7,11.2,25,258
2014,cadillac,cts coupe awd,mid-size,3.6,6,as6,x,13.3,9.0,11.4,25,262
2014,cadillac,cts sedan,mid-size,2.0,4,as6,z,11.9,7.9,10.1,28,232
2014,cadillac,cts sedan,mid-size,3.6,6,as8,x,12.9,8.2,10.8,26,248
2014,cadillac,cts sedan awd,mid-size,2.0,4,as6,z,12.6,8.5,10.8,26,248
2014,cadillac,cts sedan awd,mid-size,3.6,6,as6,x,13.1,9.0,11.3,25,260
2014,cadillac,cts sedan vsport,mid-size,3.6,6,as8,z,15.1,9.9,12.8,22,294
2014,cadillac,cts sport wagon,station wagon - small,3.0,6,as6,x,12.7,8.9,11.0,26,253
2014,cadillac,cts sport wagon,station wagon - small,3.6,6,as6,x,13.3,8.9,11.3,25,260
2014,cadillac,cts sport wagon awd,station wagon - small,3.0,6,as6,x,12.8,9.1,11.1,25,255
2014,cadillac,cts sport wagon awd,station wagon - small,3.6,6,as6,x,13.3,9.0,11.4,25,262
2014,cadillac,cts-v coupe,mid-size,6.2,8,as6,z,19.7,12.9,16.6,17,382
2014,cadillac,cts-v coupe,mid-size,6.2,8,m6,z,16.7,12.5,14.8,19,340
2014,cadillac,cts-v sedan,mid-size,6.2,8,as6,z,19.7,12.9,16.6,17,382
2014,cadillac,cts-v sedan,mid-size,6.2,8,m6,z,16.7,12.5,14.8,19,340
2014,cadillac,cts-v sport wagon,station wagon - small,6.2,8,as6,z,19.7,12.9,16.6,17,382
2014,cadillac,cts-v sport wagon,station wagon - small,6.2,8,m6,z,16.7,12.5,14.8,19,340
2014,cadillac,escalade awd,suv - standard,6.2,8,a6,z,17.0,11.8,14.7,19,338
2014,cadillac,escalade awd,suv - standard,6.2,8,a6,e,23.3,16.1,20.1,14,322
2014,cadillac,escalade esv awd,suv - standard,6.2,8,a6,z,18.8,13.4,16.4,17,377
2014,cadillac,escalade esv awd,suv - standard,6.2,8,a6,e,25.7,17.8,22.1,13,354
2014,cadillac,srx,suv - standard,3.6,6,as6,x,14.3,9.8,12.3,23,283
2014,cadillac,srx awd,suv - standard,3.6,6,as6,x,14.8,10.4,12.8,22,294
2014,cadillac,xts,full-size,3.6,6,as6,x,13.6,8.6,11.4,25,262
2014,cadillac,xts awd,full-size,3.6,6,as6,x,14.0,9.1,11.8,24,271
2014,cadillac,xts vsport awd,full-size,3.6,6,as6,z,14.8,9.8,12.6,22,290
2014,chevrolet,camaro,compact,3.6,6,as6,x,13.2,8.7,11.2,25,258
2014,chevrolet,camaro,compact,3.6,6,m6,x,14.2,8.6,11.7,24,269
2014,chevrolet,camaro 2ls,compact,3.6,6,as6,x,12.7,7.9,10.5,27,242
2014,chevrolet,camaro ss,compact,6.2,8,as6,z,15.3,9.8,12.8,22,294
2014,chevrolet,camaro ss,compact,6.2,8,m6,z,15.0,9.9,12.7,22,292
2014,chevrolet,camaro zl1,compact,6.2,8,as6,z,19.7,12.9,16.6,17,382
2014,chevrolet,camaro zl1,compact,6.2,8,m6,z,16.7,12.5,14.8,19,340
2014,chevrolet,corvette,two-seater,6.2,8,as6,z,14.9,8.5,12.0,24,276
2014,chevrolet,corvette,two-seater,6.2,8,m7,z,13.7,8.2,11.2,25,258
2014,chevrolet,cruze,mid-size,1.4,4,as6,x,9.1,6.3,7.8,36,179
2014,chevrolet,cruze,mid-size,1.4,4,m6,x,9.1,6.3,7.8,36,179
2014,chevrolet,cruze,mid-size,1.8,4,as6,x,10.5,6.7,8.8,32,202
2014,chevrolet,cruze,mid-size,1.8,4,m6,x,9.5,6.5,8.2,34,189
2014,chevrolet,cruze diesel,mid-size,2.0,4,as6,d,8.7,5.1,7.1,40,192
2014,chevrolet,cruze eco,mid-size,1.4,4,a6,x,9.1,6.0,7.7,37,177
2014,chevrolet,cruze eco,mid-size,1.4,4,m6,x,8.4,5.6,7.1,40,163
2014,chevrolet,equinox,suv - small,2.4,4,a6,x,10.5,7.3,9.1,31,209
2014,chevrolet,equinox,suv - small,3.6,6,a6,x,13.9,9.6,12.0,24,276
2014,chevrolet,equinox,suv - small,3.6,6,a6,e,18.8,13.1,16.2,17,259
2014,chevrolet,equinox awd,suv - small,2.4,4,a6,x,11.5,8.2,10.0,28,230
2014,chevrolet,equinox awd,suv - small,3.6,6,a6,x,14.8,9.9,12.6,22,290
2014,chevrolet,equinox awd,suv - small,3.6,6,a6,e,19.8,13.6,17.0,17,272
2014,chevrolet,express 1500 cargo,van - cargo,4.3,6,a4,x,17.1,12.7,15.1,19,347
2014,chevrolet,express 1500 cargo,van - cargo,5.3,8,a4,x,18.0,13.4,15.9,18,366
2014,chevrolet,express 1500 cargo,van - cargo,5.3,8,a4,e,23.5,17.7,20.9,14,334
2014,chevrolet,express 1500 cargo awd,van - cargo,5.3,8,a4,x,18.3,14.2,16.5,17,380
2014,chevrolet,express 1500 cargo awd,van - cargo,5.3,8,a4,e,23.7,18.8,21.5,13,344
2014,chevrolet,express 1500 cargo conv,van - cargo,5.3,8,a4,x,18.6,13.9,16.5,17,380
2014,chevrolet,express 1500 cargo conv,van - cargo,5.3,8,a4,e,23.9,18.5,21.5,13,344
2014,chevrolet,express 1500 cargo conv awd,van - cargo,5.3,8,a4,x,18.3,14.2,16.5,17,380
2014,chevrolet,express 1500 cargo conv awd,van - cargo,5.3,8,a4,e,25.3,19.3,22.6,12,362
2014,chevrolet,express 1500 passenger,van - passenger,5.3,8,a4,x,18.6,13.9,16.5,17,380
2014,chevrolet,express 1500 passenger,van - passenger,5.3,8,a4,e,23.9,18.5,21.5,13,344
2014,chevrolet,express 1500 passenger awd,van - passenger,5.3,8,a4,x,18.3,14.2,16.5,17,380
2014,chevrolet,express 1500 passenger awd,van - passenger,5.3,8,a4,e,25.3,19.3,22.6,12,362
2014,chevrolet,express 2500 passenger,van - passenger,4.8,8,a6,x,21.1,14.2,18.0,16,414
2014,chevrolet,express 2500 passenger,van - passenger,6.0,8,a6,x,21.9,15.0,18.8,15,432
2014,chevrolet,express 2500 passenger,van - passenger,6.0,8,a6,e,30.0,20.4,25.7,11,411
2014,chevrolet,express 3500 passenger,van - passenger,4.8,8,a6,x,21.3,14.3,18.2,16,419
2014,chevrolet,express 3500 passenger,van - passenger,6.0,8,a6,x,22.1,15.0,18.9,15,435
2014,chevrolet,express 3500 passenger,van - passenger,6.0,8,a6,e,30.2,20.5,25.8,11,413
2014,chevrolet,impala,full-size,2.5,4,as6,x,11.3,7.5,9.6,29,221
2014,chevrolet,impala,full-size,3.6,6,as6,x,12.6,8.2,10.6,27,244
2014,chevrolet,impala,full-size,3.6,6,as6,e,16.7,11.3,14.3,20,229
2014,chevrolet,impala eco,full-size,2.4,4,as6,x,10.0,7.0,8.7,32,200
2014,chevrolet,malibu,mid-size,2.0,4,as6,z,11.5,7.9,9.9,29,228
2014,chevrolet,malibu,mid-size,2.5,4,as6,x,9.3,6.4,8.0,35,184
2014,chevrolet,orlando,suv - small,2.4,4,as6,x,12.2,8.6,10.6,27,244
2014,chevrolet,orlando,suv - small,2.4,4,m6,x,11.8,8.3,10.2,28,235
2014,chevrolet,silverado,pickup truck - standard,4.3,6,a6,x,13.4,9.9,11.8,24,271
2014,chevrolet,silverado,pickup truck - standard,4.3,6,a6,e,18.9,14.2,16.8,17,269
2014,chevrolet,silverado,pickup truck - standard,5.3,8,a6,x,14.6,10.3,12.7,22,292
2014,chevrolet,silverado,pickup truck - standard,5.3,8,a6,e,19.5,13.7,16.9,17,270
2014,chevrolet,silverado,pickup truck - standard,6.2,8,a6,z,16.3,11.4,14.1,20,324
2014,chevrolet,silverado 4wd,pickup truck - standard,4.3,6,a6,x,14.2,10.6,12.6,22,290
2014,chevrolet,silverado 4wd,pickup truck - standard,4.3,6,a6,e,20.0,15.1,17.8,16,285
2014,chevrolet,silverado 4wd,pickup truck - standard,5.3,8,a6,x,14.9,10.6,13.0,22,299
2014,chevrolet,silverado 4wd,pickup truck - standard,5.3,8,a6,e,19.9,14.2,17.3,16,277
2014,chevrolet,silverado 4wd,pickup truck - standard,6.2,8,a6,z,16.4,11.7,14.3,20,329
2014,chevrolet,sonic,compact,1.4,4,as6,x,9.1,6.7,8.0,35,184
2014,chevrolet,sonic,compact,1.4,4,m6,x,8.5,6.2,7.5,38,173
2014,chevrolet,sonic,compact,1.8,4,as6,x,9.6,6.6,8.3,34,191
2014,chevrolet,sonic,compact,1.8,4,m5,x,8.9,6.7,7.9,36,182
2014,chevrolet,sonic 5,mid-size,1.4,4,as6,x,9.1,6.7,8.0,35,184
2014,chevrolet,sonic 5,mid-size,1.4,4,m6,x,8.5,6.2,7.5,38,172
2014,chevrolet,sonic 5,mid-size,1.8,4,as6,x,9.6,6.6,8.3,34,191
2014,chevrolet,sonic 5,mid-size,1.8,4,m5,x,8.9,6.7,7.9,36,182
2014,chevrolet,sonic 5 rs,mid-size,1.4,4,as6,x,9.4,7.0,8.3,34,191
2014,chevrolet,sonic 5 rs,mid-size,1.4,4,m6,x,8.7,7.0,7.9,36,182
2014,chevrolet,sonic rs,compact,1.4,4,as6,x,9.4,7.0,8.3,34,191
2014,chevrolet,sonic rs,compact,1.4,4,m6,x,8.7,7.0,7.9,36,182
2014,chevrolet,spark,subcompact,1.2,4,av,x,7.7,6.0,6.9,41,159
2014,chevrolet,spark,subcompact,1.2,4,m5,x,7.6,6.0,6.9,41,159
2014,chevrolet,suburban,suv - standard,5.3,8,a6,x,16.0,11.1,13.8,20,317
2014,chevrolet,suburban,suv - standard,5.3,8,a6,e,21.5,14.6,18.4,15,294
2014,chevrolet,suburban 4wd,suv - standard,5.3,8,a6,x,16.0,11.1,13.8,20,317
2014,chevrolet,suburban 4wd,suv - standard,5.3,8,a6,e,21.5,14.6,18.4,15,294
2014,chevrolet,tahoe,suv - standard,5.3,8,a6,x,16.0,11.1,13.8,20,317
2014,chevrolet,tahoe,suv - standard,5.3,8,a6,e,21.5,14.6,18.4,15,294
2014,chevrolet,tahoe 4wd,suv - standard,5.3,8,a6,x,16.0,11.1,13.8,20,317
2014,chevrolet,tahoe 4wd,suv - standard,5.3,8,a6,e,21.5,14.6,18.4,15,294
2014,chevrolet,traverse,suv - standard,3.6,6,a6,x,14.3,9.9,12.3,23,283
2014,chevrolet,traverse awd,suv - standard,3.6,6,a6,x,14.6,10.2,12.6,22,290
2014,chevrolet,trax,suv - small,1.4,4,as6,x,9.4,7.1,8.4,34,193
2014,chevrolet,trax,suv - small,1.4,4,m6,x,9.1,6.8,8.1,35,186
2014,chevrolet,trax awd,suv - small,1.4,4,as6,x,10.0,7.8,9.0,31,207
2014,chrysler,300,full-size,3.6,6,a8,x,12.4,7.7,10.3,27,237
2014,chrysler,200 convertible,compact,2.4,4,a4,x,11.7,8.2,10.1,28,232
2014,chrysler,200 convertible,compact,2.4,4,a6,x,12.9,8.1,10.7,26,246
2014,chrysler,200 convertible ffv,compact,3.6,6,a6,x,12.5,8.1,10.5,27,242
2014,chrysler,200 convertible ffv,compact,3.6,6,a6,e,17.0,11.2,14.4,20,230
2014,chrysler,200 sedan,mid-size,2.4,4,a4,x,11.2,8.0,9.8,29,225
2014,chrysler,200 sedan,mid-size,2.4,4,a6,x,12.0,7.6,10.0,28,230
2014,chrysler,200 sedan ffv,mid-size,3.6,6,a6,x,12.5,8.1,10.5,27,242
2014,chrysler,200 sedan ffv,mid-size,3.6,6,a6,e,17.0,11.2,14.4,20,230
2014,chrysler,300 (mds),full-size,5.7,8,a5,x,15.8,9.2,12.8,22,294
2014,chrysler,300 awd,full-size,3.6,6,a8,x,12.8,8.6,10.9,26,251
2014,chrysler,300 awd (mds),full-size,5.7,8,a5,x,16.1,10.0,13.4,21,308
2014,chrysler,300 awd ffv,full-size,3.6,6,a8,x,12.8,8.6,10.9,26,251
2014,chrysler,300 awd ffv,full-size,3.6,6,a8,e,17.3,11.7,14.8,19,237
2014,chrysler,300 ffv,full-size,3.6,6,a8,x,12.4,7.7,10.3,27,237
2014,chrysler,300 ffv,full-size,3.6,6,a8,e,16.8,10.3,13.9,20,222
2014,chrysler,300 srt (mds),full-size,6.4,8,a5,z,16.7,10.3,13.8,20,317
2014,chrysler,town & country ffv,minivan,3.6,6,a6,x,14.1,9.5,12.0,24,276
2014,chrysler,town & country ffv,minivan,3.6,6,a6,e,19.7,13.3,16.8,17,269
2014,dodge,avenger,mid-size,2.4,4,a4,x,11.2,8.0,9.8,29,225
2014,dodge,avenger,mid-size,2.4,4,a6,x,12.0,7.6,10.0,28,230
2014,dodge,avenger ffv,mid-size,3.6,6,a6,x,12.5,8.1,10.5,27,242
2014,dodge,avenger ffv,mid-size,3.6,6,a6,e,17.0,11.2,14.4,20,230
2014,dodge,challenger,mid-size,3.6,6,a5,x,13.2,8.7,11.2,25,258
2014,dodge,challenger,mid-size,5.7,8,m6,x,15.6,10.0,13.1,22,301
2014,dodge,challenger (mds),mid-size,5.7,8,a5,x,15.8,9.2,12.8,22,294
2014,dodge,challenger srt,mid-size,6.4,8,m6,z,16.8,10.4,13.9,20,320
